path,language,chars,lines
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,,1369,74
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,toml,380,21
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,883,29
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,1127,35
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,894,25
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,570,22
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,405,14
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,333,12
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,607,20
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,770,21
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,676,23
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,336,13
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,530,19
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,809,30
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,255,9
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,451,15
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,165,10
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,329,12
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,218,11
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,360,7
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,297,13
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,259,7
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,823,24
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,166,6
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,335,11
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,277,10
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,241,9
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,173,9
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,477,14
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,198,7
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,309,10
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,318,12
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,344,11
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,239,8
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,183,7
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,335,8
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,166,7
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,md,81,2
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,python,445,16
/mnt/data/agrm_pkg/gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,bash,48,4
