anchor,band8,mod24,deg_after,lambda2_local,n_local,triadic_ratio,triadic_degree,mdl_gain_surrogate
PROOF_E8_DENSEST_AM2017,4,11,11,0.0010477013556339932,98,0.0,11,-8.608286575078363
PROOF_LEECH_DENSEST_AM2017,1,15,11,0.0015801287655393315,149,0.0,11,-8.608286575078363
PROOF_UNIVERSAL_OPTIMALITY_AM2022,5,21,11,0.0012411750285463887,72,0.0,11,-8.608286575078363
CATALOG_NIEMEIER_24,7,10,11,0.002757379115148245,128,0.0,11,-8.608286575078363
DEEPPHOLE_LEECH_23_ORBITS,1,5,11,0.002483717249128837,145,0.0,11,-8.608286575078363
CODE_GOLAY_EXTENDED,7,10,11,0.002757379115148245,128,0.0,11,-8.608286575078363
CONSTRUCTION_A_TEMPLATE,6,1,11,0.0014230332182683365,158,0.0,11,-8.608286575078363
TURYN_3xE8_TO_LEECH,1,19,11,0.0015219610508531401,148,0.0,11,-8.608286575078363
E8_ROOT_SYSTEM_240,4,7,11,0.0004516110220718957,160,0.0,11,-8.608286575078363
LEECH_MIN_SHELL_196560,1,3,11,0.0072771605761859474,124,0.0,11,-8.608286575078363
E8_THETA_WEIGHT4,7,17,11,0.0018488333574248818,203,0.01818181818181818,11,-8.608286575078363
LEECH_NO_ROOTS_MIN4,6,22,11,0.002160372803655086,193,0.0,11,-8.608286575078363
CONWAY_GROUPS_AUT_LEECH,4,1,11,0.0030936499884221262,143,0.0,11,-8.608286575078363
LAMINATED_LATTICES_SEQ,1,2,11,0.0004510303390379963,206,0.0,11,-8.608286575078363
II_25_1_LORENTZ_CUT,3,17,11,0.004029192593743635,160,0.0,11,-8.608286575078363
WAVELET_FOURIER_SLICE,3,3,11,0.0014931783806052853,87,0.0,11,-8.608286575078363
HODGE_SPLIT_GRAPH,6,7,11,0.0007000943464527359,147,0.0,11,-8.608286575078363
SPECTRAL_GAP_RAYLEIGH,7,13,11,0.003567977115858299,140,0.0,11,-8.608286575078363
KOL_MDL_DELTA,7,18,11,0.0012854478304392901,174,0.01818181818181818,11,-8.608286575078363
UQ_CONFORMAL_90COVERAGE,3,7,11,0.005103980734454243,170,0.0,11,-8.608286575078363
SMT_GODEL_GATES,3,6,11,0.0019195124947036914,325,0.0,11,-8.608286575078363
GROTH_SHEAF_GLUE,1,22,11,0.0009816668850140718,128,0.0,11,-8.608286575078363
NOETHER_CONSERVATION,7,16,11,0.005478976672442099,167,0.0,11,-8.608286575078363
PARITY_64BIT_LANES,3,15,11,0.001526133454647221,113,0.0,11,-8.608286575078363
