rel_path,snap,lattice,mdhg,superperm,governance,hash,memory
gpt gode for agrm-cmplx/starting docs/e8 actualizeation attempt codebase part 3.txt,False,True,True,False,True,True,True
gpt gode for agrm-cmplx/starting docs/e8 lattice initial actualization attempt post mortem.txt,False,True,True,False,True,True,True
gpt gode for agrm-cmplx/starting docs/e8 system inintal attempt explaination.txt,False,True,True,False,True,True,True
gpt gode for agrm-cmplx/starting docs/first sprint post mortem.txt,True,False,True,True,True,True,True
gpt gode for agrm-cmplx/starting docs/first work sprint codebase.txt,True,False,True,True,True,True,True
gpt gode for agrm-cmplx/starting docs/first work sprint log file.txt,True,False,True,True,True,True,True
gpt gode for agrm-cmplx/starting docs/inital SNAP build post mortem.txt,True,False,True,True,True,True,True
gpt gode for agrm-cmplx/starting docs/initial SNAP build log with GPT5.txt,True,False,True,True,True,True,True
gpt gode for agrm-cmplx/starting docs/initial SNAP build log.txt,True,False,True,True,True,True,True
gpt gode for agrm-cmplx/starting docs/latest best of 81025 chat log.txt,True,True,True,True,True,True,True
gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,True,True,True,True,True,True,True
